typeName,idShort,value,valueType,category,descriptionEN,descriptionDE,Reference,second_value
Property,DO_Extend,,Boolean,,,,_ZjgEICb8EeaCDM79dIZItg,
Property,Extended,,Boolean,,,,_yTha4Ni2EeaI3IcGROryBQ,
Property,Retracted,,Boolean,,,,_0owM4Ni2EeaI3IcGROryBQ,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
SubmodelElementCollection,ACT_Retract,,,,,,_JOyOsBHjEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,ACT_Extend,,,,,,_Kkut8BHjEeaIeI6F5gdpJg,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_StackToseperator,,,,,,,
Property,name,seperator,,,,,,
Property,aggregation,composite,,,,,,
Property,type,Association,,,,,_KG4M8BHmEeaIeI6F5gdpJg,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_StackToseperator,_P1xSIBHVEeaen93uATCTQQ,,,,,,_EXgWsBHjEeaIeI6F5gdpJg
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Class_MicroSwitch,,,,,,_9hhg4BHjEeaIeI6F5gdpJg,
SubmodelElementCollection,Properties,,,,,,,
Property,DI_SwitchTrue,,Boolean,,,,_xvcoAH5iEeaf0bAzsfqfCg,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Operations,,,,,,,
End-SubmodelElementCollection,,,,,,,,
End-SubmodelElementCollection,,,,,,,,
SubmodelElementCollection,Relation_StackToWPAvailable,,,,,,,
Property,name,WPAvailable,,,,,,
Property,aggregation,composite,,,,,,
Property,type,Association,,,,,_LN6GcBHmEeaIeI6F5gdpJg,
Property,EAnnotation,EStringToStringMapEntry,,,,,,
RelationshipElement,Association_StackToWPAvailable,_P1xSIBHVEeaen93uATCTQQ,,,,,,_9hhg4BHjEeaIeI6F5gdpJg
End-SubmodelElementCollection,,,,,,,,
