xmi:type,name,xmi:id,description
OpaqueBehavior,OpaqueBehaviorOfSeperator1Retracting,_7589QB9kEeafhr7g7VlqoQ,seperator1.ACT_Retract()
FinalState,FinalStatefozoB9lEeafhr7g7VlqoQ,_fo_zoB9lEeafhr7g7VlqoQ,
State,TurnOffLargeSortingConveyor,_lLtmkB9rEeafhr7g7VlqoQ,TurnOffLargeSortingConveyor
OpaqueBehavior,OpaqueBehaviorOfTurnOffLargeSortingConveyor,_u9JA8CAGEeaXg9UYHPN2UA,motor.ACT_Stop()
State,WPAtConveyor,_g1hMkDeMEea1lqu3DmCTIw,WP_At_Conveyor
OpaqueBehavior,OpaqueBehaviorOfWPAtConveyor,_u4QlIO0TEeaas4YgnJyohg,Set(IsSorting)
State,WPIsSorted,_zD2sgDkREea8uOUb4gQg2Q,WPIsSorted
OpaqueBehavior,OpaqueBehaviorOfWPIsSorted,_3azeoDkREea8uOUb4gQg2Q,Reset(IsSorting); Now(WPSorted)
State,WaitTillDetection,__BTsUO0TEeaas4YgnJyohg,Wait_Till_Detection
State,StopConveyor,_IG9CMO0UEeaas4YgnJyohg,Stop_Conveyor
OpaqueBehavior,OpaqueBehaviorOfStopConveyor,_LNtXwO0UEeaas4YgnJyohg,motor.ACT_Stop()
State,TrunConveyorOnAgain,_VIxSsO0UEeaas4YgnJyohg,TrunConveyorOnAgain
OpaqueBehavior,OpaqueBehaviorOfTrunConveyorOnAgain,_sGfHcO0bEeaas4YgnJyohg,motor.ACT_TurningClockwise()
StateMachine,LargeSortingConveyorACTInit,_ZzNu0CZyEeagIsaxH253Xw,LargeSortingConveyor_ACT_Init
Transition,true,_5xNVcCZyEeagIsaxH253Xw,[true]
Transition,switchPicAlphaDIExtended,_PLfswCZzEeagIsaxH253Xw,[switchPicAlpha.DI_Extended]
Transition,true,_ke0gcCZzEeagIsaxH253Xw,[true]
Transition,true,_24z6ECZ0EeagIsaxH253Xw,[true]
Transition,true,_JZBF4CZ1EeagIsaxH253Xw,[true]
Transition,switchPicAlphaDIRetracted,_nCG_wCZ3EeagIsaxH253Xw,[switchPicAlpha.DI_Retracted]
Transition,InitCompleted,_UxpKADeXEeaEJ7sHqHqVdA,[InitCompleted]
Transition,aftert3000ms,_GI2hgGSCEeaP7aiWefDRgg,[after(t#3000ms)]
Transition,NOTInitCompleted,_VIpugGV7Eeab9L8V4_TyWg,[NOT InitCompleted]
Transition,motorStopped,_YmmcEGV7Eeab9L8V4_TyWg,[motor.Stopped]
